year,rmse,mse_model,mse_ref,skill,n
1999,5.434125600653829,29.529721043681334,21.529758594041557,-0.371576969369912,1
2000,8.833086816962133,78.02342271599024,81.53390074548557,0.04305544071114131,8612
2001,8.197292242566554,67.19560011004182,69.77160938420472,0.036920594162846876,8637
2002,7.155446355257811,51.20041254297229,55.04237958867387,0.06980016260946953,8579
2003,7.530629998126619,56.71038816868452,55.28184507408016,-0.025841089288717534,8549
2004,7.586342630345214,57.552594504993145,57.99698232205543,0.007662257573930575,8604
2005,7.043407657310202,49.60959142705599,49.03587165868065,-0.01170000142688954,8699
2006,7.263647010795848,52.760567897443465,53.37848529490658,0.011576150841471677,8710
2007,7.190876105317268,51.708699162022846,54.317284708605335,0.048024962230286516,8739
2008,8.495243951113398,72.16916978892877,76.96095179564551,0.062262509687255,8740
2009,9.116444554056475,83.10956130718596,85.675387207682,0.029948226487454654,8759
2010,9.513381118259886,90.50442030126374,95.34543090568536,0.050773388493154936,8757
2011,7.465298305334729,55.73067878763358,60.416997243261605,0.07756622588771078,8759
2012,7.515514556550177,56.48295904971761,56.54473556182102,0.001092524555815988,8758
2013,8.615414042585291,74.22535912517583,79.2945015094122,0.0639280440351172,8759
2014,8.204447394564138,67.31295705017028,65.62102730526271,-0.025783347417541513,8759
2015,8.142814267006141,66.30542418695877,67.78402980900499,0.021813480641568295,8755
2016,8.224321856468846,67.63946999879116,70.47038598856058,0.040171711138760724,8759
2017,7.713777006236749,59.50235570194678,59.90079882081656,0.0066517162828104714,8759
2018,7.89875946983515,62.39040116231046,65.25755796414667,0.043936011264955166,8758
2019,8.682887506934064,75.39253545807165,78.27943001300802,0.03687935073692605,8759
2020,7.829245986889154,61.29709272321992,64.34885175295949,0.047425228991739066,8759
2021,7.412852950297796,54.95038886273874,54.8418010404851,-0.0019800192589130017,8759
2022,6.859209138034,47.04874999928913,52.174494680534664,0.09824234451393465,8759
2023,7.933606075477513,62.942105360853716,62.97257160078467,0.00048380174346529525,8759
2024,8.71122404643568,75.88542438719922,80.49603173699174,0.057277448966142286,8758
2025,6.664477799420846,44.41526433897332,47.16936278345017,0.0583874422285634,7323
global,7.955437421305469,63.28898456430739,65.51359496392972,0.03395646965865795,225328
