year,rmse,mse_model,mse_ref,skill,n
1999,0.00180081968284813,3.2429515301332394e-06,2.4619855168077445e-06,-0.31720983246810874,1
2000,0.0015051060631568732,2.2653442613515814e-06,2.3473033301868686e-06,0.034916266586117906,8612
2001,0.0018777980173425547,3.5261253939356293e-06,3.607353457922635e-06,0.02251735654253917,8637
2002,0.0015444177448632366,2.3852261706484456e-06,2.3782719430465954e-06,-0.0029240674609067874,8579
2003,0.0019921426425220353,3.968632308154678e-06,4.0756333260035105e-06,0.026253838186605427,8549
2004,0.0017088834715472002,2.9202827193272104e-06,3.0865590051489597e-06,0.053871086068456586,8604
2005,0.0019067740122329835,3.63578713372707e-06,3.7216340537884647e-06,0.023066996598982148,8699
2006,0.0019050869358946338,3.6293562333164044e-06,3.897818404655807e-06,0.0688749817125226,8710
2007,0.001961532191004687,3.8476085363476484e-06,3.995934815953649e-06,0.037119294092038846,8739
2008,0.0016196247193900537,2.62318423165931e-06,2.7795438755865807e-06,0.05625370597694679,8740
2009,0.0017651015293060443,3.1155834087585365e-06,3.2927704820344576e-06,0.05381093952422855,8759
2010,0.0019322076157337691,3.7334262702995764e-06,3.843715561619946e-06,0.02869340604222237,8757
2011,0.0018982961465093368,3.6035282598521977e-06,3.779124128592942e-06,0.04646469995843261,8759
2012,0.0018478475395148088,3.414540529290933e-06,3.3711334006195456e-06,-0.01287612310548436,8758
2013,0.0017600484039628885,3.0977703842923114e-06,3.2281715011775548e-06,0.04039473021729989,8759
2014,0.0016006309112243258,2.562019313966816e-06,2.722266818590927e-06,0.0588654659160327,8759
2015,0.0017302591164799358,2.993796610161928e-06,3.1521875524360083e-06,0.050247943575462695,8755
2016,0.0015824884555775912,2.5042697120363497e-06,2.6182373576468626e-06,0.0435283857201324,8759
2017,0.001747417502723896,3.053467928825817e-06,3.1315480897134002e-06,0.024933406305993833,8759
2018,0.001780272618609186,3.1693705965696082e-06,3.2924800427536934e-06,0.037391098681078594,8758
2019,0.0016936296710458756,2.868381462646961e-06,2.9427606148734655e-06,0.025275298252454892,8759
2020,0.0017761220136693421,3.1546094074408385e-06,3.2565018024720244e-06,0.0312889109884229,8759
2021,0.0017030975730126824,2.900541343201689e-06,3.0131887764274287e-06,0.037384791190978595,8759
2022,0.0018916120316640008,3.5781960783360085e-06,3.5291962628608123e-06,-0.013884128800328188,8759
2023,0.0018647452199938087,3.477274735489758e-06,3.470934655702382e-06,-0.0018266203245744794,8759
2024,0.0018405266545425654,3.387538366081648e-06,3.601608846225496e-06,0.05943745955871782,8758
2025,0.001778893259754236,3.164461229599052e-06,3.263661491381438e-06,0.030395389363863434,7323
global,0.0017822675392006322,3.176477581288276e-06,3.2850124686397744e-06,0.033039414123270716,225328
