year,rmse,mse_model,mse_ref,skill,n
1999,0.0017614082909309485,3.102559167360285e-06,2.219054951453955e-06,-0.3981443611062656,1
2000,0.0015450204408350235,2.38708816259805e-06,2.4509017888931076e-06,0.026036794531810847,8643
2001,0.0017951238907973246,3.222469783311325e-06,3.268147009284483e-06,0.013976490605653091,8740
2002,0.0016850816916164487,2.839500307420952e-06,2.8276295288657873e-06,-0.004198137851505024,8577
2003,0.0018865292153585791,3.5589924804014563e-06,3.652592387127911e-06,0.02562560965091798,8640
2004,0.0016952334866620225,2.873816574300278e-06,2.915616080630302e-06,0.0143364233061124,8707
2005,0.0017952594721632326,3.222956572391808e-06,3.350952351419957e-06,0.03819683648259309,8679
2006,0.0017948221167529525,3.2213864307855493e-06,3.478629520668763e-06,0.07394955063618247,8747
2007,0.0018085023682762053,3.2706808160606435e-06,3.4462848296901216e-06,0.05095458509889561,8754
2008,0.0016144166270149155,2.6063410455822166e-06,2.7116389676036465e-06,0.03883183686303371,8759
2009,0.001692089057154563,2.8631653773422175e-06,3.109722543121323e-06,0.07928590488707343,8759
2010,0.0017543650459920287,3.0777967145986127e-06,3.24956154999821e-06,0.05285784951501904,8759
2011,0.001859464035475348,3.4576064992262663e-06,3.52801139565502e-06,0.019955971943702355,8759
2012,0.0017900147729640917,3.204152887429689e-06,3.098574397861015e-06,-0.03407324660061617,8759
2013,0.0016794151220307823,2.820435152105667e-06,2.9162047070840027e-06,0.032840477469120555,8759
2014,0.0014494070740904987,2.1007808664235805e-06,2.289523276998276e-06,0.08243742811916288,8758
2015,0.0017018831548064745,2.8964062726140385e-06,3.0701870679960083e-06,0.05660267323560875,8759
2016,0.0015049394625726515,2.2648427860084613e-06,2.37045824623148e-06,0.04455487051540552,8759
2017,0.0016019419877865613,2.566218132233559e-06,2.6120230059857812e-06,0.017536167808344216,8493
2018,0.0017018002372729561,2.8961240475822896e-06,3.0055099433058806e-06,0.036395120224847144,8749
2019,0.0016534479133162307,2.733890002049798e-06,2.803689285048338e-06,0.02489551298382786,8759
2020,0.0017919246690171102,3.2109940194320802e-06,3.2652500001627673e-06,0.016616179688533017,8759
2021,0.0015875913879919682,2.520446415226264e-06,2.581291891292903e-06,0.0235717147184632,8759
2022,0.001773303151479259,3.1446040670462717e-06,3.0537002345881266e-06,-0.02976842043253325,8748
2023,0.001754042086610997,3.07666364160266e-06,3.103879731727256e-06,0.008768410014859285,8759
2024,0.0018904358728707258,3.573747789436503e-06,3.725564603635118e-06,0.04075001519245802,8759
2025,0.001519643026824417,2.309314928976076e-06,2.3910504334871273e-06,0.03418393161697042,7799
global,0.00170964285797274,2.9228787018171993e-06,3.0136803622185173e-06,0.030129824496210156,225902
