year,rmse,mse_model,mse_ref,skill,n
1999,4.8327825631263295,23.355787302457895,11.806186597830306,-0.9782668272200719,1
2000,8.258968852777814,68.21056651115408,71.67785532133209,0.04837322203118577,8609
2001,7.726099707663007,59.6926166927504,61.73209978017885,0.03303764321464564,8540
2002,6.84645260324276,46.87391324844957,49.75371959473787,0.05788122716744348,8541
2003,7.029782332178563,49.41783963780988,48.60308426101213,-0.016763450081116016,8590
2004,7.312625842989481,53.474496719557614,55.44366356848352,0.03551653556395329,8655
2005,6.828163503743128,46.62381683384963,45.88077211887744,-0.01619512228449338,8620
2006,6.938472710218361,48.14240355044493,49.03327196471809,0.01816865117453681,8748
2007,6.999610054131752,48.99454090990231,51.64103338150951,0.0512478604379516,8759
2008,8.308948905286124,69.03863191065548,73.79023619265993,0.06439340117571135,8756
2009,8.65242625766362,74.86448014430688,75.95160652867864,0.014313408682952167,8757
2010,8.821599513675725,77.82061797968377,81.78892170722304,0.048518841484968656,8759
2011,6.936629865750043,48.11683389441546,52.65028418950361,0.08610495394043749,8759
2012,7.3715496233144036,54.33974384898673,54.70837947598994,0.006738193134837811,8759
2013,8.23239604292046,67.77234460749246,72.46352292892148,0.06473847988360348,8759
2014,7.463735803072825,55.70735213807115,53.05764200027044,-0.049940216675803395,8759
2015,7.924107379743475,62.791477765705,63.11607692639171,0.005142891898450519,8759
2016,8.007853731283646,64.1257213816334,66.81194198821655,0.04020569566825205,8759
2017,7.255367066644385,52.640351271747946,53.31398401474086,0.012635197977451162,8759
2018,7.396641692427124,54.71030832615119,56.93702305704223,0.03910837994919769,8759
2019,8.451715562613957,71.43149595133097,73.83912425672132,0.03260640384926006,8758
2020,7.7999182992692155,60.83872547527478,63.84536333479071,0.047092501357534844,8759
2021,7.3609975571053115,54.18428503571036,53.63895637348379,-0.010166653102448242,8753
2022,6.794465651650403,46.16476349145714,50.45107131385329,0.0849596987887784,8758
2023,7.783891380344658,60.58896502100386,61.24548055133451,0.010719411855710348,8759
2024,8.418835021070787,70.87678311200797,75.05133616111603,0.05562263462100603,8759
2025,6.304711429591264,39.74938621041872,43.13128803613396,0.07840947905107765,7322
global,7.622533368019118,58.10301494656488,60.1103753589156,0.033394574569945545,225275
