year,rmse,mse_model,mse_ref,skill,n
1999,0.0010619838552187308,1.127809708745238e-06,6.608672407349474e-07,-0.7065601670480839,1
2000,0.0014916726116371943,2.2250871803085277e-06,2.2499172063661116e-06,0.011035973229293838,8609
2001,0.0016833660473767297,2.8337212494607537e-06,2.948399935181167e-06,0.038895227323822,8540
2002,0.0015212653936886654,2.3142483980347303e-06,2.3450710650077404e-06,0.01314359612931748,8541
2003,0.0016914146766807412,2.8608836084910164e-06,2.905439603268227e-06,0.015335371186890656,8590
2004,0.0015838052316846643,2.5084390119117134e-06,2.565615699607354e-06,0.02228575686701284,8655
2005,0.0016731520497524834,2.7994377815909363e-06,2.8467097059574235e-06,0.016605811357427558,8620
2006,0.0017828183156535081,3.1784411466296118e-06,3.4832539414926562e-06,0.08750805998727296,8748
2007,0.0017640580617243465,3.111900845134658e-06,3.3038463093207174e-06,0.05809757664711823,8759
2008,0.0015150360388705572,2.2953341990765882e-06,2.4147170919381875e-06,0.0494397017605801,8756
2009,0.0016686950207056373,2.7845430721277874e-06,3.0342548772839856e-06,0.0822975706575183,8757
2010,0.00167183939024758,2.7950469467833998e-06,2.9472947084454898e-06,0.05165678248117611,8759
2011,0.001693623596246035,2.8683608857613524e-06,2.9573598208471886e-06,0.030094050260120464,8759
2012,0.001680925727353956,2.8255113008804257e-06,2.8057248852873555e-06,-0.007052158141671816,8759
2013,0.0015451904107001376,2.38761340531966e-06,2.5399789958960503e-06,0.059986949034843806,8759
2014,0.0014266189711477427,2.035241688838644e-06,2.223127179067819e-06,0.08451405389589872,8759
2015,0.0016181419456921448,2.61838335640836e-06,2.770475132031552e-06,0.05489736177912019,8759
2016,0.0014533447301839889,2.1122109047535714e-06,2.1609954866823207e-06,0.022575050354985304,8759
2017,0.0015363836261701297,2.3604746467636767e-06,2.3898543926472627e-06,0.01229352967024988,8759
2018,0.0015778664826265965,2.4896626369964276e-06,2.5458524847733966e-06,0.02207113260215876,8759
2019,0.0016929409669187514,2.866049117471797e-06,2.942989018914296e-06,0.026143455156649953,8758
2020,0.0016001438398775543,2.560460308298084e-06,2.601905625226164e-06,0.015928831747876182,8759
2021,0.001483551554269373,2.2009252141750726e-06,2.2941238193464842e-06,0.04062492372271376,8753
2022,0.0016765783085846728,2.810914824816642e-06,2.661158297012248e-06,-0.05627494161941793,8758
2023,0.0017310273423002116,2.9964556597909338e-06,3.048726493951262e-06,0.017145137244693687,8759
2024,0.001797059561985837,3.2294230693247284e-06,3.3352615198587744e-06,0.03173317891381655,8759
2025,0.0015108466133170004,2.28265748897145e-06,2.307181069945652e-06,0.010629239851894123,7322
global,0.0016221095620967034,2.6312394314455583e-06,2.7193774697480864e-06,0.032411108528707544,225275
