year,rmse,mse_model,mse_ref,skill,n
1999,0.0009902760813794986,9.806467173523354e-07,5.164233533253004e-07,-0.8989201612162876,1
2000,0.0015139580910447478,2.292069101439857e-06,2.433554049946134e-06,0.05813922584107334,8669
2001,0.0015755260830994018,2.4822824385265428e-06,2.487789463537365e-06,0.0022136218082505765,8603
2002,0.001545532735369627,2.3886714360991213e-06,2.362517125121243e-06,-0.011070527574074562,8285
2003,0.001629326711820891,2.654705533853077e-06,2.8048738848133864e-06,0.053538361126814205,8375
2004,0.0014702306676914576,2.161578216220469e-06,2.2002266706263018e-06,0.01756566944751714,8581
2005,0.0016421341928990233,2.6966047074881264e-06,2.746451911263456e-06,0.018149672881910495,8636
2006,0.0015878254698068282,2.5211897225672744e-06,2.661855574625502e-06,0.05284503539528729,8735
2007,0.0015105462654592678,2.281750020092941e-06,2.411786192400529e-06,0.053916956949719874,8744
2008,0.0014802586032531813,2.1911655325050593e-06,2.2824279690568428e-06,0.039984804685641584,8754
2009,0.0014621802275267394,2.1379710177701477e-06,2.4052896524239517e-06,0.11113781426881841,8756
2010,0.001632257160383746,2.6642634376240103e-06,2.806059132873931e-06,0.05053196976098484,8756
2011,0.001627430124550006,2.648528810292848e-06,2.7006960554328267e-06,0.019316222214283307,8759
2012,0.001564892434686908,2.4488883321403186e-06,2.449722611802761e-06,0.0003405608693910489,8746
2013,0.0015923291602039538,2.5355121544358285e-06,2.582945590059885e-06,0.01836408626128161,8759
2014,0.0014077185749871123,1.981671586363746e-06,2.1039225520493066e-06,0.05810621002492844,8758
2015,0.0016150694901880685,2.6084494581363477e-06,2.8166668941332222e-06,0.07392334408820811,8759
2016,0.001482958137809817,2.1991648384963607e-06,2.26159230442273e-06,0.027603324349966818,8757
2017,0.0014360405728818574,2.062212526962853e-06,2.084567501427075e-06,0.010724034817254813,8752
2018,0.0016906555617785947,2.8583162285728956e-06,2.966475474041935e-06,0.036460522399555995,8759
2019,0.0014238871488251562,2.027454612589432e-06,2.1236590675626204e-06,0.045301271019742684,8759
2020,0.0016077437466338262,2.584839954840173e-06,2.6160629427588317e-06,0.011935105768415388,8759
2021,0.0014464133439342462,2.092111561511048e-06,2.0896844798683136e-06,-0.001161458424042916,8759
2022,0.001553459913345166,2.413237702370371e-06,2.3256034819972246e-06,-0.037682356881357126,8759
2023,0.0016242775703068921,2.638277625402061e-06,2.6218142179257742e-06,-0.00627939514696485,8759
2024,0.0017116205355322998,2.929644857655877e-06,3.0686028826968326e-06,0.04528380841473789,8759
2025,0.001474545667601784,2.174284925843191e-06,2.331075263800244e-06,0.06726095051150116,7321
global,0.001552983530061973,2.4117578446437475e-06,2.491089821834602e-06,0.03184629333535216,224819
