year,rmse,mse_model,mse_ref,skill,n
1999,4.774061904886089e-05,2.2791667071684596e-09,3.342624506909003e-07,0.9931815054234852,1
2000,0.001471424110062151,2.1650889116721934e-06,2.24623832788992e-06,0.0361268059627301,8509
2001,0.0017483398865916736,3.0566923590473862e-06,3.1180801205092245e-06,0.019687679305627648,8402
2002,0.0014775154265727686,2.1830518357605104e-06,2.2867275145655886e-06,0.04533801169780982,8529
2003,0.001752767962038005,3.072195528746861e-06,3.1991136208236704e-06,0.03967289290717091,8546
2004,0.0016957102999656268,2.875433421409516e-06,2.831840513132387e-06,-0.015393843005978347,8648
2005,0.0016766628842548358,2.811198427437745e-06,2.846862962112114e-06,0.012527661200772755,8721
2006,0.0018263098730305922,3.335407752329018e-06,3.6449843687484517e-06,0.084932220580614,8745
2007,0.001760386139167433,3.0989593589728208e-06,3.28257435922255e-06,0.055936280539648386,8754
2008,0.001506094067467463,2.268319340060687e-06,2.402925759820405e-06,0.056017718903549674,8759
2009,0.0016878012308317307,2.8486729947971054e-06,3.1721327765069725e-06,0.10196918114696585,8759
2010,0.0016200810741724694,2.624662686891822e-06,2.7403770933483506e-06,0.04222572387479062,8759
2011,0.0015874502172993083,2.5199981924036216e-06,2.654009742414486e-06,0.05049399324696813,8759
2012,0.001640561732405435,2.6914427978331216e-06,2.7207627668804104e-06,0.010776378376019413,8759
2013,0.001592159445264186,2.534971699143961e-06,2.602304374321371e-06,0.02587425046886338,8757
2014,0.00148929572856495,2.218001767121805e-06,2.401189638353156e-06,0.07629046382067073,8758
2015,0.0016360035382005627,2.67650757700476e-06,2.8023127200326063e-06,0.044893327617762324,8759
2016,0.001485675548523857,2.2072318354816638e-06,2.2635429240329643e-06,0.02487741140378763,8758
2017,0.0016494914033192071,2.720821889623967e-06,2.7216303879492378e-06,0.00029706396902773324,8759
2018,0.0015439562684996407,2.3838009590393342e-06,2.488559285568854e-06,0.04209597381786834,8759
2019,0.0016357237971513926,2.67559234056737e-06,2.6932234843642872e-06,0.006546483757948751,8758
2020,0.0015468323401930863,2.39269028866722e-06,2.46324866700304e-06,0.028644439873651173,8759
2021,0.0015295363063591312,2.3394813124707337e-06,2.4230434652089566e-06,0.034486443985855986,8751
2022,0.0017098516613610203,2.923592703859041e-06,2.7938197431849488e-06,-0.046450012027673404,8725
2023,0.0017294703995660225,2.991067862975058e-06,3.0680764556051645e-06,0.025099958799728483,8756
2024,0.0018552976535874013,3.4421293834069168e-06,3.4716819582081873e-06,0.008512466048740008,8756
2025,0.0016254295185924351,2.6420211199116356e-06,2.6565853588813765e-06,0.005482315454705899,7263
global,0.0016373425631370803,2.680890669060304e-06,2.769812293686236e-06,0.03210384502539343,224968
