year,rmse,mse_model,mse_ref,skill,n
1999,0.0010432452511091707,1.0883606539618367e-06,2.754213054838318e-06,0.6048378857075285,1
2000,0.0018624753409409742,3.468814395613198e-06,3.6863684076159613e-06,0.059015808499579436,8657
2001,0.0021278794161266375,4.527870809575439e-06,4.710616727867064e-06,0.03879447827086768,8629
2002,0.0016971304414678905,2.880251735356997e-06,3.0351568924141086e-06,0.051036952140521064,8698
2003,0.0019788749048452715,3.9159458890263825e-06,4.03398876922733e-06,0.029262074575273966,8651
2004,0.001995494997512352,3.982000285096821e-06,3.908993403608324e-06,-0.018676644841893575,8685
2005,0.001997839937257129,3.991364414899569e-06,4.0162143093240645e-06,0.0061873925320180545,8649
2006,0.0020375649911598868,4.15167109320039e-06,4.454786816406804e-06,0.06804270006592705,8709
2007,0.0019970880475778468,3.9883606697782955e-06,4.199727941530894e-06,0.05032880098312997,8732
2008,0.0018767004457438247,3.52200456305507e-06,3.6708706070793052e-06,0.040553334606004854,8738
2009,0.0020642940063594433,4.261309744691522e-06,4.586898235834324e-06,0.07098227917925015,8745
2010,0.0020402400731319753,4.1625795560135675e-06,4.335119893645996e-06,0.03980059187874396,8757
2011,0.0018901832068541119,3.5727925554732946e-06,3.848812443184754e-06,0.07171559845692632,8759
2012,0.0019737071156999695,3.895519778564693e-06,4.040700802271005e-06,0.03592966438512735,8759
2013,0.0019395806735061879,3.7619731890387176e-06,3.876489230736598e-06,0.029541173696520318,8759
2014,0.0018759877057661167,3.519329872185618e-06,3.646208951875956e-06,0.03479753392220142,8758
2015,0.0020652159520767027,4.265116928712081e-06,4.449014856540688e-06,0.041334527700722545,8759
2016,0.0018957996982979495,3.594056496066596e-06,3.715414319973584e-06,0.0326633353525565,8759
2017,0.0021924063261929702,4.806645499130956e-06,4.829136343658494e-06,0.004657322329917668,8751
2018,0.0018515520652375573,3.4282450502854634e-06,3.688762151613162e-06,0.07062453219266784,8749
2019,0.0019893482148220635,3.957506319815731e-06,3.927146557716517e-06,-0.007730743340749413,8626
2020,0.0019031070168465912,3.6218163175707312e-06,3.764668668786997e-06,0.03794553087783259,8759
2021,0.0018265937987105465,3.3364449054878246e-06,3.5119827049924007e-06,0.04998253529410701,8759
2022,0.0022236216713235617,4.94449333717979e-06,4.939252397790684e-06,-0.0010610794847110139,8759
2023,0.001996847901769616,3.9874015428017176e-06,4.0945371241491455e-06,0.02616549272823876,8758
2024,0.002048649567525751,4.196965050523446e-06,4.333011208707479e-06,0.03139760125952118,8759
2025,0.0020333367055184004,4.134458158008423e-06,4.188755349591749e-06,0.01296260751743794,7321
global,0.001979109483581292,3.916874348001409e-06,4.0566762703250855e-06,0.03446218357287656,225445
