year,rmse,mse_model,mse_ref,skill,n
1999,0.0010964909899127007,1.2022924909597345e-06,7.249622460152524e-07,-0.6584208316614042,1
2000,0.0014924040750528542,2.2272699232343656e-06,2.297894076100554e-06,0.030734294326584033,8577
2001,0.0018152877880312514,3.295269753375394e-06,3.2716806423873078e-06,-0.007210089726506164,8661
2002,0.001597623955007477,2.552402301613733e-06,2.5184077643097245e-06,-0.013498424594210245,8667
2003,0.0019087087306884271,3.6431690186062263e-06,3.788101340858044e-06,0.038259885153703155,8716
2004,0.001588509519731288,2.5233624942769276e-06,2.574417461843771e-06,0.019831658355159876,8708
2005,0.0018471470268281176,3.411952138719954e-06,3.4957905228803114e-06,0.023982668186673717,8759
2006,0.0018458884903380895,3.407304318762631e-06,3.5995975796275443e-06,0.05342076624154479,8759
2007,0.0017914471886255803,3.209283029634495e-06,3.38192468538782e-06,0.051048344305020255,8759
2008,0.0016239351938438157,2.6371655138045514e-06,2.696765332723601e-06,0.02210048393749442,8759
2009,0.0016655408151650599,2.774026206980692e-06,3.015327018653266e-06,0.08002475691022926,8759
2010,0.0018567745451943693,3.447611711681757e-06,3.576469320937836e-06,0.03602927851266713,8759
2011,0.001725765663877416,2.9782671266182577e-06,3.094563837511055e-06,0.037580970049186146,8759
2012,0.0017300893621293456,2.993209200953126e-06,2.9695354517136406e-06,-0.007972206301098073,8759
2013,0.0017755367385244166,3.152530709849923e-06,3.279178078959417e-06,0.038621680817555126,8756
2014,0.0014325452652656338,2.052185937034985e-06,2.2063292826148715e-06,0.0698641616165292,8759
2015,0.001776024045002304,3.1542614084263454e-06,3.3091084247974183e-06,0.046794180332895174,8759
2016,0.001561338392233325,2.4377775750617443e-06,2.5810755750926575e-06,0.055518715303704,8759
2017,0.0016869951194908206,2.8459525331858484e-06,2.852540217243915e-06,0.0023094097037592576,8759
2018,0.0018263680360486145,3.3356202031000736e-06,3.4883861240032602e-06,0.04379272118187216,8759
2019,0.0016848246002454815,2.838633933592346e-06,2.926872840432529e-06,0.030147844354981634,8759
2020,0.0018974930378854856,3.6004798288238892e-06,3.6756935012016394e-06,0.020462443985920453,8759
2021,0.00159742669932246,2.5517720597082494e-06,2.6183997065056153e-06,0.02544594189795557,8759
2022,0.0018233175112637898,3.3244867468811808e-06,3.2807459096950407e-06,-0.013332589109348536,8759
2023,0.0018268245154433394,3.337287810224792e-06,3.373969509567056e-06,0.010871971201355413,8759
2024,0.0018185818053948848,3.3072397829133183e-06,3.4771038213934666e-06,0.0488521618005856,8759
2025,0.0015952642208408045,2.544867934294819e-06,2.6628457471577093e-06,0.04430516224562331,7323
global,0.0017284060997691997,2.9873876457193766e-06,3.0807854132786308e-06,0.030316219739517147,225830
