year,rmse,mse_model,mse_ref,skill,n
1999,2.5353831103280635,6.4281675161368055,5.51310449458934,-0.16597962589780857,1
2000,3.201348311050629,10.248631008666715,10.95328828192825,0.06433294323350769,8577
2001,3.7163505511826402,13.811261419275514,14.335111823024485,0.03654316828610882,8661
2002,3.1820501276290343,10.125443014743952,10.116797138199232,-0.0008546060997975946,8667
2003,3.9225526655959717,15.386419414374062,16.371592097645088,0.06017574084396682,8716
2004,3.4613430879580633,11.98089597255506,12.246571328940076,0.021693856120953092,8708
2005,3.883794058277459,15.083856287111292,15.412682441753496,0.02133477776401871,8759
2006,3.630312764391538,13.179170767304132,13.678548232999027,0.036508075066779666,8759
2007,3.6054695352120993,12.999410569342551,14.001617779236282,0.07157795803995992,8759
2008,3.337386704751414,11.138150017051503,11.935971662508393,0.06684178448269074,8759
2009,3.3737257142312362,11.382025194865065,11.998009116162827,0.051340511190973714,8759
2010,3.9481783267837782,15.588112100085155,15.928994136706681,0.02140009806620491,8759
2011,3.460629556921446,11.975956930238322,12.673776693481413,0.0550601277046332,8759
2012,3.812003659819526,14.531371902477462,14.785388268625612,0.01718022966547106,8759
2013,3.638578170922576,13.239251105914278,13.700416700988459,0.03366069843999042,8756
2014,3.126277371266112,9.773610202090552,10.006912307001924,0.02331409507287563,8759
2015,3.414521328169057,11.65895590052138,11.929973038283649,0.022717330281683434,8759
2016,3.239598188802518,10.494996424892555,10.835975024679064,0.03146727442707509,8759
2017,3.6934741320040354,13.641751163782963,13.740891802998828,0.0072150076310351086,8759
2018,3.6755516282212053,13.509679771719554,14.013832286601362,0.03597534953831494,8759
2019,3.3881641015909936,11.479655979309905,12.081034693882565,0.04977874245135461,8759
2020,3.64152079614987,13.260673708791982,13.743404445425575,0.035124538359508684,8759
2021,3.6329598208721188,13.198397060071178,13.505221481114217,0.02271894773973937,8759
2022,4.091393571925765,16.73950136039547,16.627656900854348,-0.00672641131627949,8759
2023,3.624168941052975,13.134600513293044,12.942034093567404,-0.01487914637942045,8759
2024,3.3718210568171463,11.369177239195498,11.985826871509435,0.051448234562750605,8759
2025,3.5013040180452366,12.25912982677972,13.045149604365292,0.06025379558104471,7323
global,3.5697846963840125,12.743362778537497,13.179729192203714,0.03310890590410198,225830
