year,rmse,mse_model,mse_ref,skill,n
1999,0.0008199608882443052,6.723358582503899e-07,3.9903647480310357e-07,-0.6848982504221959,1
2000,0.0015453794794668598,2.3881977355572628e-06,2.5110567603019527e-06,0.048927219283532275,8553
2001,0.0017409295184670694,3.030835588269982e-06,3.092893912025173e-06,0.020064808402870837,8532
2002,0.0016102144730341789,2.5927906491687385e-06,2.5393400667260595e-06,-0.021049005268361842,8401
2003,0.001774753052096193,3.1497483959247525e-06,3.295468586357541e-06,0.044218352144528295,8632
2004,0.001517224071960131,2.3019688845352807e-06,2.3099736745798075e-06,0.003465316567290655,8621
2005,0.001769940064327536,3.132687831311762e-06,3.186774227309897e-06,0.016972145542858863,8693
2006,0.0016907602651127856,2.8586702740842567e-06,3.011416255751067e-06,0.05072230761028229,8692
2007,0.0016556148974869165,2.7410606887806133e-06,2.913364870919702e-06,0.05914267171234722,8745
2008,0.001557017961955665,2.4243049338525728e-06,2.544913747152697e-06,0.04739210255556359,8757
2009,0.001613506603361725,2.603403559091891e-06,2.8712275196414074e-06,0.09327855724333722,8730
2010,0.0017389436268488683,3.0239249373582963e-06,3.1310855120374913e-06,0.03422473588383801,8759
2011,0.0016839713682128032,2.8357595689605005e-06,2.9113621341819802e-06,0.025968107620085612,8755
2012,0.0016509588817484107,2.725665229223963e-06,2.7207574807562325e-06,-0.0018038169526106707,8759
2013,0.0016093787732677312,2.590100035844747e-06,2.6663480227669406e-06,0.028596412122926518,8758
2014,0.001484811506718048,2.2046652104823205e-06,2.3657511728215756e-06,0.06809083059531218,8759
2015,0.0016959543404163283,2.8762611247769832e-06,3.078249720688492e-06,0.06561800186449185,8759
2016,0.00156834882784563,2.4597180458047614e-06,2.5400528312264815e-06,0.031627210439922226,8744
2017,0.0016308994705654116,2.65983308309054e-06,2.677088880339665e-06,0.006445731920165287,8729
2018,0.0017303770745752795,2.9942048202157026e-06,3.132940691270905e-06,0.04428295481039657,8759
2019,0.0015255432496255662,2.3272822064781325e-06,2.4144857858958546e-06,0.03611683279608402,8759
2020,0.0017204905629739594,2.960087777282452e-06,2.9685109831607547e-06,0.0028375188524093486,8759
2021,0.0015550629875039947,2.418220895104849e-06,2.4307020230861345e-06,0.005134783228360806,8759
2022,0.0017031644362891876,2.900769097040266e-06,2.7988179605949586e-06,-0.03642649785755814,8759
2023,0.001771819669650369,3.1393449417599427e-06,3.1343608414914584e-06,-0.0015901488439067357,8759
2024,0.001819752252842532,3.311498261725471e-06,3.4481870193325806e-06,0.0396407610262296,8759
2025,0.0015835868612220048,2.507747347034961e-06,2.639544607444956e-06,0.0499318177985153,7067
global,0.0016549234252370697,2.738771543398395e-06,2.8222807602704552e-06,0.029589266258562064,224759
