year,rmse,mse_model,mse_ref,skill,n
1999,0.00011659212157956716,1.359372281442457e-08,5.3197030912706455e-08,0.7444646330594811,1
2000,0.0016296022276717766,2.6556034204328166e-06,2.6538111574655166e-06,-0.0006753543718656108,8683
2001,0.0016397617904006481,2.6888187292579394e-06,2.729892577418457e-06,0.015045957668912924,8676
2002,0.0016649614827365011,2.7720967389961285e-06,2.804507662111829e-06,0.011556724751928371,8680
2003,0.0018372381875813703,3.375444157907278e-06,3.4273331194450173e-06,0.015139748524398366,8695
2004,0.0015736321488646057,2.4763181399402364e-06,2.462184093263961e-06,-0.005740450811514641,8710
2005,0.001740044607787164,3.0277552370891856e-06,3.1263912840227166e-06,0.03154948884280928,8732
2006,0.0017991377045267964,3.23689647984995e-06,3.6014082466655566e-06,0.1012136758316966,8759
2007,0.0016589356591807229,2.7520675213013795e-06,2.878089485501889e-06,0.043786673359300865,8759
2008,0.0016025750622639654,2.568246830190353e-06,2.731180821616045e-06,0.059656976988174515,8757
2009,0.0016528383474758129,2.7318746028865763e-06,2.9790803134840815e-06,0.08298054586799453,8759
2010,0.0015852950784603298,2.513160485790543e-06,2.6786975166940124e-06,0.06179758254592749,8759
2011,0.0016584394259886396,2.750421329673528e-06,2.8188836965837056e-06,0.024287049158200125,8757
2012,0.0016529004772256855,2.7320799876128986e-06,2.666158881051965e-06,-0.024725123108538805,8759
2013,0.0015318481323795018,2.3465587006745675e-06,2.378840760673613e-06,0.013570500612199221,8756
2014,0.0015377659938040002,2.3647242517000045e-06,2.6707489657832698e-06,0.11458385569139973,8758
2015,0.001704067971792978,2.9038476524906338e-06,3.0829191812688434e-06,0.05808505453733914,8759
2016,0.0014553878215171942,2.118153711020564e-06,2.1806111578323874e-06,0.028642175193631658,8757
2017,0.0015056082307280695,2.2668561444361076e-06,2.305420455985371e-06,0.016727669544677637,8757
2018,0.0017100814510980296,2.924378569389543e-06,3.0779306405101806e-06,0.04988808685279078,8758
2019,0.0016030208268266214,2.5696757712399047e-06,2.570766512860745e-06,0.00042428653686887863,8758
2020,0.0015683295398853337,2.4596575456769428e-06,2.3724690930653403e-06,-0.03675008996595652,8759
2021,0.0015118696266290242,2.285749767923385e-06,2.2821759409667012e-06,-0.0015659734609112519,8748
2022,0.001779027609737934,3.164939236209867e-06,2.9578576881582985e-06,-0.07001065294000242,8756
2023,0.0017517123192264525,3.068496049329717e-06,3.085139604060598e-06,0.005394749303718638,8758
2024,0.0018656924908559416,3.480808470436248e-06,3.580293928730669e-06,0.027786952768342088,8759
2025,0.001620425690018177,2.6257794168708848e-06,2.6658135514013785e-06,0.015017604854416167,7322
global,0.0016510322478138486,2.72590748332125e-06,2.799592172664574e-06,0.02631979402671103,225891
