year,rmse,mse_model,mse_ref,skill,n
1999,0.0014148484811568928,2.0017962246319665e-06,1.5290725195004508e-06,-0.30915715187004666,1
2000,0.0015685988685510224,2.4605024104195478e-06,2.5310861015008884e-06,0.027886720660939113,8618
2001,0.001905386884169539,3.6304991783653046e-06,3.702127927148034e-06,0.019347993962464005,8596
2002,0.001608336884205273,2.5867475330951253e-06,2.5332107119433136e-06,-0.021133978669599873,8587
2003,0.0018830331101920062,3.54581369407938e-06,3.6220669073624233e-06,0.021052403291625166,8568
2004,0.0017630826181566717,3.1084603184461846e-06,3.188185175405677e-06,0.025006344541875003,8602
2005,0.0019134034519241898,3.6611127698354058e-06,3.6801102483747448e-06,0.0051622036453198294,8747
2006,0.001883535648639202,3.547706539694699e-06,3.8019119100587415e-06,0.0668625092789471,8741
2007,0.0018716311795022374,3.5030032720849364e-06,3.685182325299578e-06,0.04943556034227736,8751
2008,0.0016317194633203675,2.6625084069785083e-06,2.8041162575654766e-06,0.0504999927178168,8757
2009,0.0018090672520873626,3.2727243225749214e-06,3.4996838215505966e-06,0.06485142960003654,8759
2010,0.0018708330959080826,3.500016472745021e-06,3.7124922841324425e-06,0.05723266073725297,8757
2011,0.0017230509228933783,2.9689044828837226e-06,3.1171003603612064e-06,0.047542863669718716,8759
2012,0.001857185184638854,3.449136810042054e-06,3.376733677250124e-06,-0.02144176583416324,8759
2013,0.0017293300612991887,2.990582460913056e-06,3.1539208672124507e-06,0.05178899952672533,8758
2014,0.001706054923467875,2.9106234018889765e-06,3.0856644199352723e-06,0.05672717257114035,8759
2015,0.0018701925778003576,3.4976202780595467e-06,3.6428759149130447e-06,0.03987389091647531,8756
2016,0.0015715921374032675,2.469901846347771e-06,2.561627821829674e-06,0.035807690211760224,8759
2017,0.0017973310291587135,3.23039882837672e-06,3.2058224503614245e-06,-0.007666169413881541,8747
2018,0.0016490089726496188,2.7192305918789515e-06,2.8279067992077304e-06,0.038429911254227234,8759
2019,0.0017002671516354068,2.890908386930379e-06,2.993089004943854e-06,0.034138850480121885,8756
2020,0.0017286021712219935,2.98806546635339e-06,3.129307528370457e-06,0.045135245013971814,8759
2021,0.001771984937695846,3.1399306194209512e-06,3.297981992538337e-06,0.047923661643688886,8757
2022,0.001898791127895557,3.6054077473748816e-06,3.5912380210390895e-06,-0.003945638315472122,8753
2023,0.0018956466179320106,3.5934761000770704e-06,3.5816181312901884e-06,-0.0033107853356244554,8756
2024,0.0017901857952905664,3.2047651816601174e-06,3.3731586590010154e-06,0.04992160000880863,8739
2025,0.0017443712523240262,3.042831065934492e-06,3.1199624910807224e-06,0.02472190783278072,7321
global,0.0017781180588111742,3.1617038310704183e-06,3.263478651158715e-06,0.03118599230062724,225381
