year,rmse,mse_model,mse_ref,skill,n
1999,0.001009948175847473,1.0199953178976381e-06,7.259058136068461e-07,-0.4051345212811208,1
2000,0.0015414444343084062,2.376050944060362e-06,2.521106246756142e-06,0.05753637034631909,8600
2001,0.0016984722513277155,2.8848079885302385e-06,2.936821865276843e-06,0.01771094030645315,8723
2002,0.0016009750177888517,2.563121007584014e-06,2.516438936904692e-06,-0.018550845798286142,8499
2003,0.0017720866225449502,3.1402909978027688e-06,3.2638891592692264e-06,0.037868369737816376,8656
2004,0.0015269466169000742,2.3315659708625818e-06,2.360454695664255e-06,0.012238627097879373,8707
2005,0.0017056339087977827,2.9091870308408032e-06,2.961254550210014e-06,0.017582925914125913,8610
2006,0.001680143564299437,2.8228823966568167e-06,2.969765729480995e-06,0.04945956893705816,8745
2007,0.0016277633661500033,2.6496135761799895e-06,2.8249303560799432e-06,0.062060567094204266,8759
2008,0.0015446629106940213,2.385983507673726e-06,2.482861539160189e-06,0.039018700784753224,8759
2009,0.0015727287357736178,2.473475676328082e-06,2.7316491709008887e-06,0.09451195172609295,8759
2010,0.0017146236433833936,2.9399342384493433e-06,3.046559539086295e-06,0.03499859407603434,8759
2011,0.0017149758792687595,2.9411422664736544e-06,3.018729238318042e-06,0.025701865162182425,8759
2012,0.0016555889441393517,2.740974751956453e-06,2.730272476716049e-06,-0.003919856106551212,8759
2013,0.0016156892376159343,2.610451712547959e-06,2.70117638487039e-06,0.0335870966555869,8758
2014,0.0014122327036136884,1.994401209156028e-06,2.1482857973147243e-06,0.0716313389731692,8759
2015,0.001676017340081947,2.8090341242553646e-06,3.0080947564400464e-06,0.06617498726012927,8759
2016,0.0015089741772251477,2.2770030675323117e-06,2.34718397520553e-06,0.029900045507541884,8758
2017,0.001574416027886115,2.478785828864692e-06,2.5016826831980495e-06,0.009152581375383328,8759
2018,0.0017613036866376797,3.102190676563482e-06,3.2266505962741146e-06,0.038572481276512915,8619
2019,0.0015256529928002155,2.327617054440254e-06,2.413828568391457e-06,0.035715673880126975,8759
2020,0.0017429189938126782,3.0377666189929985e-06,3.041632658094556e-06,0.001271040765316922,8753
2021,0.0015570191032848418,2.424308487993933e-06,2.4400810509542883e-06,0.006463950430739551,8759
2022,0.001667558916407777,2.7807527396910793e-06,2.692894289867772e-06,-0.032626029975956206,8759
2023,0.0017104924742777359,2.9257845045607707e-06,2.9182602610556863e-06,-0.002578331893661412,8758
2024,0.0017751474043828657,3.151148307287225e-06,3.300330516509111e-06,0.045202202772006594,8759
2025,0.0015269001154176963,2.331423962462574e-06,2.4210872823324255e-06,0.037034319466364596,7323
global,0.0016344614061882645,2.671464088318919e-06,2.7528943380531513e-06,0.029579867490235667,225377
